station,day,Polutan,Konsentrasi (μg/m³)
Changping,1,PM10,93.42716711349419
Changping,2,PM10,82.53283052351375
Changping,3,PM10,95.19079535299375
Changping,4,PM10,93.35376930063579
Changping,5,PM10,87.96357012750455
Changping,6,PM10,94.39523381294964
Changping,7,PM10,91.16831683168317
Changping,8,PM10,89.40933572710952
Changping,9,PM10,84.17249103942652
Changping,10,PM10,83.66931216931216
Changping,11,PM10,76.49956063268893
Changping,12,PM10,75.28678414096916
Changping,13,PM10,79.83742331288343
Changping,14,PM10,92.49469964664311
Changping,15,PM10,111.44734513274337
Changping,16,PM10,106.06567425569177
Changping,17,PM10,102.85327510917031
Changping,18,PM10,92.12237885462555
Changping,19,PM10,94.32190560997329
Changping,20,PM10,87.53892857142857
Changping,21,PM10,98.05475113122172
Changping,22,PM10,93.27131438721136
Changping,23,PM10,91.24375
Changping,24,PM10,91.21366024518389
Changping,25,PM10,97.43626570915619
Changping,26,PM10,94.5
Changping,27,PM10,80.05657773689052
Changping,28,PM10,92.77076076993583
Changping,29,PM10,88.85749027237354
Changping,30,PM10,93.03660886319845
Changping,31,PM10,103.26042944785277
Huairou,1,PM10,90.43299161230196
Huairou,2,PM10,77.83845454545455
Huairou,3,PM10,88.67759856630825
Huairou,4,PM10,96.41510277033065
Huairou,5,PM10,88.17711711711712
Huairou,6,PM10,92.28251121076234
Huairou,7,PM10,91.3869644484959
Huairou,8,PM10,83.74121996303143
Huairou,9,PM10,80.12123411978222
Huairou,10,PM10,78.13697024346257
Huairou,11,PM10,73.31214868540344
Huairou,12,PM10,68.18132366273798
Huairou,13,PM10,78.41575591985428
Huairou,14,PM10,89.96642533936651
Huairou,15,PM10,103.14406779661017
Huairou,16,PM10,104.38780918727915
Huairou,17,PM10,99.20502645502646
Huairou,18,PM10,91.57000895255148
Huairou,19,PM10,95.77751865671642
Huairou,20,PM10,86.21660482374769
Huairou,21,PM10,94.69223659889094
Huairou,22,PM10,90.68828828828829
Huairou,23,PM10,88.0884995507637
Huairou,24,PM10,87.60900900900901
Huairou,25,PM10,99.2775718257646
Huairou,26,PM10,93.26093189964158
Huairou,27,PM10,78.13082437275986
Huairou,28,PM10,89.91800180018001
Huairou,29,PM10,89.08695652173913
Huairou,30,PM10,92.01175318315377
Huairou,31,PM10,90.8109500805153
Wanshouxigong,1,PM10,103.63037037037037
Wanshouxigong,2,PM10,96.17698483496878
Wanshouxigong,3,PM10,111.10035682426405
Wanshouxigong,4,PM10,113.6744719926538
Wanshouxigong,5,PM10,100.40749097472924
Wanshouxigong,6,PM10,107.78158844765343
Wanshouxigong,7,PM10,106.31519784172662
Wanshouxigong,8,PM10,104.88407079646018
Wanshouxigong,9,PM10,96.07066666666667
Wanshouxigong,10,PM10,94.75400355871886
Wanshouxigong,11,PM10,91.50846702317291
Wanshouxigong,12,PM10,83.47182468694096
Wanshouxigong,13,PM10,96.94762757385855
Wanshouxigong,14,PM10,106.6681654676259
Wanshouxigong,15,PM10,122.80405405405405
Wanshouxigong,16,PM10,122.28695255474453
Wanshouxigong,17,PM10,113.71757129714811
Wanshouxigong,18,PM10,104.96914700544464
Wanshouxigong,19,PM10,110.538742023701
Wanshouxigong,20,PM10,100.67857142857143
Wanshouxigong,21,PM10,112.58869801084991
Wanshouxigong,22,PM10,110.06743566992014
Wanshouxigong,23,PM10,107.50444839857651
Wanshouxigong,24,PM10,106.76222826086956
Wanshouxigong,25,PM10,107.11990740740741
Wanshouxigong,26,PM10,110.68189573459715
Wanshouxigong,27,PM10,91.421669793621
Wanshouxigong,28,PM10,105.5509927797834
Wanshouxigong,29,PM10,111.90943396226415
Wanshouxigong,30,PM10,109.35791015625
Wanshouxigong,31,PM10,114.14609375
Changping,1,BMUA_PM10,150.0
Changping,2,BMUA_PM10,150.0
Changping,3,BMUA_PM10,150.0
Changping,4,BMUA_PM10,150.0
Changping,5,BMUA_PM10,150.0
Changping,6,BMUA_PM10,150.0
Changping,7,BMUA_PM10,150.0
Changping,8,BMUA_PM10,150.0
Changping,9,BMUA_PM10,150.0
Changping,10,BMUA_PM10,150.0
Changping,11,BMUA_PM10,150.0
Changping,12,BMUA_PM10,150.0
Changping,13,BMUA_PM10,150.0
Changping,14,BMUA_PM10,150.0
Changping,15,BMUA_PM10,150.0
Changping,16,BMUA_PM10,150.0
Changping,17,BMUA_PM10,150.0
